"Composite depth","Magnetic susceptibility (MS)",,"Composite depth","Total reflectance (L*)"
"(m)","(SI)",,"(mm)","(%)"
135.24,9.63,,135.24,57.3
135.31,7.28,,135.31,58.07
135.38,3.88,,135.38,60.41
135.43,5.93,,135.43,58.82
135.47,9.18,,135.47,57.94
135.5,8.13,,135.5,52.95
135.56,4.8,,135.56,55.51
135.65,7,,135.65,55.63
135.73,11.18,,135.73,60.61
135.84,6.93,,135.84,62.28
135.97,5.65,,135.97,59.24
136.1,5.95,,136.1,61.89
136.22,3.85,,136.22,55.42
136.32,5.75,,136.32,53.43
136.42,7.73,,136.42,54.51
136.54,9.13,,136.54,61.88
136.67,8.7,,136.67,52.15
136.8,9.7,,136.8,58.97
136.9,5.75,,136.9,57.35
136.96,5.88,,136.96,55.78
137.02,5.48,,137.02,52.66
137.12,5.55,,137.12,55.09
137.26,11.08,,137.26,58.06
137.39,11.1,,137.39,58.97
137.53,6.35,,137.53,59.01
137.64,6.08,,137.64,57.69
137.71,7.05,,137.71,57.27
137.78,4.85,,137.78,60.39
137.85,7.85,,137.85,58.7
137.93,7.6,,137.93,58.43
138.03,7.35,,138.03,57.73
138.14,11.25,,138.14,58.31
138.24,9,,138.24,57.19
138.34,5.05,,138.34,61.56
138.45,5.68,,138.45,64.68
138.55,5.18,,138.55,61.65
138.66,3.75,,138.66,59.25
138.76,4.55,,138.76,58.44
138.86,9.18,,138.86,58.01
138.96,7.25,,138.96,57.43
139.06,6.55,,139.06,56.04
139.16,5.68,,139.16,55.81
139.27,4.78,,139.27,57.5
139.38,6.03,,139.38,62.14
139.49,5.15,,139.49,57.13
139.59,6.2,,139.59,50.73
139.69,7.6,,139.69,58.93
139.8,5.15,,139.8,56.77
139.9,8.9,,139.9,57.64
140,5.13,,140,55.72
140.1,6.38,,140.1,58.46
140.21,7.4,,140.21,54.86
140.31,7.9,,140.31,53.91
140.42,5.23,,140.42,50.64
140.54,13.18,,140.54,54.78
140.67,15.46,,140.67,54.45
140.79,6.3,,140.79,51.65
140.89,11.5,,140.89,56.93
140.96,10.9,,140.96,58.98
141.03,8.05,,141.03,53.82
141.1,11.35,,141.1,53
141.19,6.8,,141.19,56.37
141.31,11.8,,141.31,56.73
141.43,10.43,,141.43,57.76
141.54,11.15,,141.54,59.02
141.66,8.65,,141.66,63.74
141.75,7.03,,141.75,59.05
141.81,5.38,,141.81,53.32
141.87,7.68,,141.87,56.5
141.93,5.5,,141.93,58.1
142.01,11.1,,142.01,58.91
142.12,12.65,,142.12,56.15
142.23,13.58,,142.23,58.54
142.34,8.35,,142.34,58.33
142.44,4.25,,142.44,58.68
142.55,4.73,,142.55,60.06
142.66,5.1,,142.66,59.9
142.77,5.55,,142.77,59.78
142.86,8.18,,142.86,59.04
142.94,8.33,,142.94,58.28
143.02,9.1,,143.02,58.34
143.1,6.33,,143.1,59.93
143.19,4.7,,143.19,57.13
143.28,5.4,,143.28,54.73
143.38,7.73,,143.38,59.06
143.47,7.73,,143.47,57.22
143.57,7.78,,143.57,54.78
143.67,8.45,,143.67,56.47
143.77,11.68,,143.77,57.41
143.87,5.43,,143.87,55.37
143.96,6.43,,143.96,59.97
144.04,6.45,,144.04,58.14
144.13,6.33,,144.13,58.55
144.21,6.8,,144.21,58.4
144.31,8.78,,144.31,57.69
144.42,10.6,,144.42,55.14
144.54,8.68,,144.54,57.64
144.65,7.1,,144.65,54.42
144.74,7.48,,144.74,59.11
144.8,4.53,,144.8,55.17
144.85,6.9,,144.85,58.38
144.91,3.6,,144.91,54.4
145.01,10.1,,145.01,56.94
145.14,12.4,,145.14,59.8
145.28,8.88,,145.28,58.36
145.41,4.38,,145.41,57.44
145.51,4.4,,145.51,55.7
145.56,5.98,,145.56,60.14
145.61,4.13,,145.61,54.97
145.66,5.53,,145.66,54.83
145.73,11.15,,145.73,57.21
145.81,7.73,,145.81,57.46
145.89,7.8,,145.89,57.02
145.97,7.83,,145.97,58.2
146.04,5.98,,146.04,58.27
146.09,6.35,,146.09,57.06
146.14,4.78,,146.14,57.16
146.19,4.85,,146.19,57.91
146.26,4.48,,146.26,55.91
146.36,7.33,,146.36,57.53
146.45,7.38,,146.45,52.75
146.53,10.25,,146.53,53.06
146.59,7.08,,146.59,52.34
146.65,5.65,,146.65,54.86
146.71,4.73,,146.71,53.14
146.78,9.23,,146.78,54.84
146.85,6.68,,146.85,55.32
146.92,5.95,,146.92,53.11
146.99,5.5,,146.99,58.83
147.07,3.68,,147.07,57.72
147.14,6.73,,147.14,57.3
147.24,5.18,,147.24,54.26
147.36,4.4,,147.36,55.23
147.47,6.25,,147.47,53.36
147.59,3.13,,147.59,53.27
147.68,5.9,,147.68,59.15
147.74,5.65,,147.74,59.7
147.8,4.83,,147.8,60.25
147.86,5.75,,147.86,59.3
147.93,6.38,,147.93,55.8
148.01,8.03,,148.01,55.63
148.1,7.63,,148.1,53.82
148.18,5.73,,148.18,56.57
148.26,3.45,,148.26,60.15
148.33,3.78,,148.33,60.16
148.41,3.85,,148.41,59.63
148.49,6.05,,148.49,58.85
148.56,6.23,,148.56,58.28
148.64,6.28,,148.64,58.46
148.71,7.15,,148.71,58.56
148.78,3.08,,148.78,56.16
148.85,4.48,,148.85,57.36
148.93,3.18,,148.93,54.35
149,5.4,,149,58.45
149.08,5.4,,149.08,57.91
149.17,8.23,,149.17,57.06
149.26,6.08,,149.26,53.16
149.35,9.4,,149.35,55.27
149.44,5.55,,149.44,54
149.51,5.03,,149.51,56.87
149.56,4.23,,149.56,56.35
149.61,6.98,,149.61,60.88
149.66,6.4,,149.66,56.39
149.74,7.65,,149.74,54.56
149.84,7.9,,149.84,50.67
149.95,10.6,,149.95,53.15
150.05,7.3,,150.05,53.34
150.13,4.75,,150.13,55.3
150.2,5.78,,150.2,56.58
150.27,7.63,,150.27,60.48
150.34,6.83,,150.34,56.43
150.41,4.6,,150.41,59.18
150.49,11.8,,150.49,54.5
150.58,7.45,,150.58,54.51
150.66,6.05,,150.66,52.64
150.73,6.78,,150.73,58.15
150.78,5.28,,150.78,58.47
150.83,3.78,,150.83,62.89
150.88,5.88,,150.88,55.37
150.96,9.48,,150.96,54.99
151.06,7.33,,151.06,51.69
151.16,9.38,,151.16,54.33
151.26,6.1,,151.26,53.1
151.34,5.68,,151.34,54.69
151.4,5.33,,151.4,57.42
151.46,4.43,,151.46,53.23
151.52,6.53,,151.52,55.93
151.57,6.78,,151.57,54.88
151.62,8.45,,151.62,55.72
151.67,9.03,,151.67,53.36
151.71,8.63,,151.71,55.22
151.75,5.28,,151.75,53.8
151.79,6.38,,151.79,53.53
151.86,7.1,,151.86,53.4
151.96,9.73,,151.96,56.51
152.06,6.15,,152.06,55.98
152.16,11.23,,152.16,58.64
152.23,7.13,,152.23,51.76
152.27,8.65,,152.27,55.66
152.32,8.93,,152.32,58.56
152.36,5.03,,152.36,56.49
152.43,9.18,,152.43,51.66
152.53,11.63,,152.53,50.48
152.63,7.2,,152.63,54.71
152.7,12.18,,152.7,50.81
152.73,8.48,,152.73,53.93
152.77,8.9,,152.77,56.04
152.8,5.7,,152.8,53.01
152.86,14.3,,152.86,50.24
152.94,12.95,,152.94,50.41
153.03,11.93,,153.03,50.52
153.11,10.3,,153.11,52.44
153.19,8.58,,153.19,53.26
153.26,8.73,,153.26,50.46
153.33,6.9,,153.33,54.26
153.4,8.15,,153.4,53.89
153.48,11.43,,153.48,53.81
153.57,11.53,,153.57,52.55
153.66,13.6,,153.66,52.23
153.75,10.18,,153.75,53.81
153.83,8.28,,153.83,57.38
153.9,7.28,,153.9,55.04
153.97,7.93,,153.97,57.19
154.04,8.35,,154.04,55.62
154.13,4.53,,154.13,56.46
154.22,9.13,,154.22,50.75
154.32,13.8,,154.32,49.64
154.41,8,,154.41,48.8
154.5,7.28,,154.5,57.44
154.58,7.1,,154.58,59.17
154.67,8.58,,154.67,57.63
154.75,13.2,,154.75,56.85
154.83,7.75,,154.83,53.19
154.88,8.13,,154.88,55.38
154.91,7.15,,154.91,56.08
154.95,8.23,,154.95,52.64
155,6.6,,155,50.26
155.04,7.78,,155.04,47.03
155.07,9.78,,155.07,53.81
155.1,10.03,,155.1,53.55
155.16,5.63,,155.16,53.07
155.25,9.48,,155.25,50.17
155.33,6.65,,155.33,56.59
155.42,6.85,,155.42,52.1
155.5,13.2,,155.5,55.47
155.58,12.73,,155.58,54.6
155.66,10.68,,155.66,51.45
155.74,7.35,,155.74,52.62
155.82,8.28,,155.82,58.35
155.89,8,,155.89,51.12
155.96,8.5,,155.96,53.03
156.03,7.1,,156.03,53.87
156.12,9.45,,156.12,52.03
156.21,14.1,,156.21,53.71
156.3,13.63,,156.3,55.34
156.39,10.5,,156.39,55.62
156.46,8.18,,156.46,54.02
156.53,6.23,,156.53,54.13
156.6,6.65,,156.6,57.18
156.67,9.65,,156.67,54.94
156.73,6.83,,156.73,53.97
156.79,13.18,,156.79,52.06
156.85,14.78,,156.85,55.68
156.91,7.63,,156.91,51.97
156.97,6.98,,156.97,51.85
157.04,7.45,,157.04,55.7
157.1,7.93,,157.1,54.64
157.17,7.15,,157.17,53.7
157.24,5.43,,157.24,54.16
157.32,12.45,,157.32,55.85
157.39,9.33,,157.39,53.3
157.47,4.93,,157.47,53.31
157.55,5.45,,157.55,50.04
157.63,9.28,,157.63,55.76
157.7,9.35,,157.7,56
157.78,6.53,,157.78,52.02
157.85,7.73,,157.85,56.82
157.92,12.3,,157.92,55.54
157.97,11.13,,157.97,54.54
158,7.2,,158,54.1
158.06,8.38,,158.06,53.54
158.15,10.1,,158.15,55.25
158.23,11.05,,158.23,54.96
158.3,8.75,,158.3,53.54
158.35,9.23,,158.35,54.56
158.4,7.65,,158.4,56.78
158.45,8.38,,158.45,53.62
158.51,10.85,,158.51,55.54
158.6,7.65,,158.6,54.81
158.69,8.63,,158.69,53.53
158.76,8.38,,158.76,57.27
158.83,9.08,,158.83,57.03
158.89,5.53,,158.89,57.73
158.96,6.4,,158.96,59.78
159.02,8.45,,159.02,57.05
159.07,4.93,,159.07,51.16
159.13,8.18,,159.13,51.82
159.18,5.65,,159.18,52.17
159.25,7.53,,159.25,56.38
159.33,11.03,,159.33,57.3
159.41,8.9,,159.41,54.99
159.49,7.13,,159.49,54.68
159.56,11.08,,159.56,55.51
159.61,9.9,,159.61,54.79
159.67,8.93,,159.67,58.11
159.72,9.48,,159.72,56.37
159.78,11.25,,159.78,57.68
159.83,8.13,,159.83,54.76
159.89,9.13,,159.89,55.23
159.94,7.68,,159.94,56.58
160,10.2,,160,55.38
160.07,11.63,,160.07,56.91
160.14,11.5,,160.14,51.63
160.21,11.33,,160.21,56.65
160.26,5.78,,160.26,52.32
160.29,10.25,,160.29,55.13
160.32,7.13,,160.32,54.03
160.38,9.93,,160.38,54.9
160.45,9.95,,160.45,53.41
160.52,11.45,,160.52,56.56
160.59,10,,160.59,51.11
160.65,6.1,,160.65,58.23
160.7,4.65,,160.7,56.88
160.75,7.93,,160.75,54.19
160.8,9.03,,160.8,52.8
160.87,10.73,,160.87,56.32
160.95,10.85,,160.95,52.49
161.04,10.48,,161.04,50.63
161.12,6.68,,161.12,51.74
161.18,6.43,,161.18,53.32
161.23,10.73,,161.23,59.74
161.28,6.55,,161.28,55.09
161.33,5.23,,161.33,53.27
161.4,6.85,,161.4,55.86
161.51,10.08,,161.51,50.38
161.61,10.85,,161.61,52.31
161.72,6.15,,161.72,52.45
161.81,7.05,,161.81,54.97
161.88,8.35,,161.88,53.35
161.95,10.58,,161.95,54.86
162.02,8.38,,162.02,56.89
162.11,10,,162.11,56.65
162.21,10.45,,162.21,56.67
162.31,10.88,,162.31,52.7
162.41,9.55,,162.41,51.1
162.49,7.45,,162.49,53.52
162.55,9.73,,162.55,59.97
162.62,7.9,,162.62,59.9
162.68,9.9,,162.68,58.79
162.77,11.63,,162.77,52
162.89,11.93,,162.89,53.72
163,7.13,,163,52.45
163.12,8.8,,163.12,50.92
163.21,5.53,,163.21,52.05
163.27,7.43,,163.27,54.6
163.34,9.65,,163.34,55.19
163.4,10.5,,163.4,53.5
163.48,8.9,,163.48,52.98
