strat_event,depth_rmcd,age_ma
astrochronology,232.05,56.042
astrochronology,232.63,56.105
astrochronology,232.85,56.126
astrochronology,233.1,56.147
astrochronology,233.65,56.189
astrochronology,233.88,56.21
astrochronology,235.4,56.315
astrochronology,236.95,56.399
astrochronology,237.43,56.42
astrochronology,237.8,56.441
astrochronology,239.2,56.504
astrochronology,239.55,56.525
astrochronology,240.3,56.567
astrochronology,240.68,56.588
astrochronology,241.05,56.609
astrochronology,241.43,56.63
astrochronology,242.33,56.693
astrochronology,243.05,56.735
astrochronology,243.43,56.756
astrochronology,244.08,56.819
astrochronology,245.08,56.882
astrochronology,245.4,56.903
astrochronology,245.75,56.924
astrochronology,246.85,56.987
astrochronology,247.25,57.008
astrochronology,247.53,57.029
astrochronology,248.4,57.113
astrochronology,249.13,57.176
astrochronology,249.53,57.197
astrochronology,249.83,57.218
astrochronology,251.43,57.302
astrochronology,251.7,57.323
astrochronology,253.46,57.386
astrochronology,253.74,57.407
astrochronology,256.14,57.575
astrochronology,256.49,57.596
astrochronology,257.61,57.659
astrochronology,257.99,57.68
astrochronology,258.34,57.701
astrochronology,259.11,57.743
astrochronology,259.43,57.764
astrochronology,259.8,57.785
astrochronology,260.13,57.806
astrochronology,260.45,57.827
astrochronology,261.35,57.89
astrochronology,261.61,57.911
astrochronology,263.43,58.016
astrochronology,263.88,58.037
astrochronology,264.33,58.058
astrochronology,265.5,58.121
astrochronology,265.83,58.142
astrochronology,266.15,58.163
astrochronology,266.45,58.184
astrochronology,266.75,58.205
base C25r,275.48,58.959
base C26n,277.4,59.237
base C26r,299.9,62.221
base C27n,301.65,62.517
base C27r,307.08,63.494
base C28n,312.53,64.667
base C28r,313.75,64.958
base C29n,317.92,65.688
K/Pg boundary,320.25,66.04
base C29r,326.88,66.389
extrapolated,366.3,69.076
