Songliao Basin geochemical records,,,,,,
Depth (m),TOC,TN,TOC/12,TN/14,C/N,¦Ä13Corg
1580,1.22,0.23,0.101532436,0.016248502,6.248725937,-29.394
1581,0.82,0.2,0.068377765,0.014259433,4.795265176,-28.447
1582,2.19,0.17,0.182859442,0.012265621,14.90829114,-28.558
1583,0.75,0.17,0.062634746,0.012004277,5.217702307,-27.77
1584,0.87,0.19,0.072095227,0.013429332,5.368489607,-27.637
1585,1.39,0.18,0.115602984,0.012597728,9.17649497,-27.305
1586,1.68,0.18,0.139922697,0.012595074,11.10931888,-27.735
1587,0.69,0.2,0.05783925,0.014165814,4.083016305,-27.252
1588,1.64,0.22,0.136694391,0.01584491,8.627022445,-27.076
1589,1.85,0.2,0.154567186,0.01456205,10.6143833,-26.589
1590,1.19,0.18,0.099280078,0.012643017,7.852562402,-29.019
1591,1.86,0.15,0.155046296,0.010779208,14.38383022,-28.554
1592,1.98,0.18,0.164713527,0.012673751,12.99643051,-27.732
1593,1.61,0.2,0.133965102,0.014113387,9.492058802,-27.286
1594,0.93,0.19,0.077224714,0.013581669,5.685951916,-27.711
1595,0.93,0.14,0.077322899,0.010331821,7.483956469,-28.145
1596,1.68,0.2,0.140325936,0.01393496,10.07006399,-26.511
1597,1.38,0.2,0.114604214,0.013946515,8.217408607,-26.636
1598,1.35,0.21,0.112400558,0.015088917,7.449213172,-26.83
1599,1.38,0.2,0.115095355,0.014213899,8.097381015,-26.207
1600,3.58,0.26,0.298469922,0.018660509,15.99473657,-25.065
1601,2.57,0.19,0.214437333,0.013269599,16.16004559,-26.029
1602,1.52,0.19,0.126935794,0.013491124,9.40883728,-27.71
1603,0.94,0.17,0.077954545,0.011838333,6.584925868,-27.717
1604,1.44,0.17,0.119734747,0.01192926,10.03706405,-27.674
1605,1.89,0.19,0.157401738,0.013588862,11.5831431,-25.777
1606,1.44,0.23,0.120288665,0.016508512,7.286462958,-27.09
1607,1.19,0.26,0.099432707,0.018391515,5.406444575,-29.621
1608,2.01,0.23,0.167152976,0.016647735,10.04058345,-25.431
1609,1.15,0.19,0.095864119,0.013592137,7.052910201,-28.48
1610,0.92,0.21,0.077082234,0.014894648,5.175163019,-28.138
1611,1.14,0.24,0.094892352,0.017107097,5.546958051,-26.931
1612,1.33,0.24,0.111201277,0.017124062,6.493860751,-28.895
1613,1.07,0.23,0.0894883,0.016294631,5.491888859,-28.821
1614,2.38,0.21,0.198323949,0.014720268,13.47284889,-27.677
1615,2.2,0.24,0.183392857,0.016953759,10.81723859,-27.904
1616,1.11,0.24,0.092313786,0.017159392,5.379782021,-27.905
1617,1.24,0.26,0.103155521,0.018446708,5.592082972,-26.397
1618,1.49,0.21,0.12448015,0.014688218,8.474829821,-27.524
1619,1.08,0.21,0.089955324,0.015216889,5.911545115,-28.861
1620,2.24,0.25,0.186748643,0.017881005,10.44396794,-29.177
1621,1.69,0.23,0.140841035,0.016551914,8.509048124,-28.816
1622,0.92,0.23,0.076844532,0.016417573,4.680626736,-27.625
1623,3.15,0.24,0.262167041,0.017047656,15.3784803,-27.212
1624,3.67,0.24,0.306071709,0.017029363,17.97317424,-27.406
1625,0.69,0.18,0.057217065,0.013058219,4.381689918,-27.915
1626,2.17,0.22,0.180544562,0.016055029,11.24535899,-28.459
1627,2.64,0.2,0.219907407,0.014525875,15.13901322,-27.427
1628,2.8,0.23,0.233496161,0.016674256,14.0033935,-26.153
1629,1.14,0.19,0.095297757,0.013505402,7.056269658,-25.634
1630,2.05,0.26,0.170875056,0.018751907,9.11240951,-26.89
1631,2.81,0.26,0.233927219,0.018843116,12.41446564,-25.059
1632,1.78,0.26,0.148455353,0.018827096,7.885196514,-28.433
1633,1.69,0.2,0.140678709,0.014545481,9.671643929,-26.576
1634,5.99,0.29,0.499074141,0.020454121,24.39968672,-24.895
1635,3.38,0.31,0.281788143,0.022345395,12.61056896,-24.08
1636,2.54,0.26,0.211972761,0.018723661,11.321117,-24.918
