depth_m,d13C_VPDB,d18O_VPDB
0,2.06,-1.85
0.15,2.06,-1.57
0.3,2.07,-1.8
0.45,2.1,-1.83
0.6,2.16,-1.86
0.75,2.09,-1.78
0.9,2.1,-1.87
1.05,2.07,-1.73
1.2,2.05,-1.91
1.35,2.04,-1.96
1.5,2.04,-1.8
1.65,2.04,-1.86
1.8,1.96,-1.96
1.9,2.04,-1.88
2.05,2.1,-1.73
2.2,2.19,-1.67
2.35,2.09,-1.77
2.5,2.14,-1.8
2.65,2.14,-1.92
2.8,2.16,-1.73
2.95,2.2,-1.76
3.1,2.16,-1.88
3.25,2.23,-1.71
3.4,2.21,-1.76
3.55,2.21,-1.85
3.7,2.17,-1.87
3.85,2.16,-1.82
4,2.2,-1.74
4.15,2.16,-1.72
4.3,2.17,-1.64
4.45,2.2,-1.66
4.6,2.15,-1.85
4.75,2.19,-1.81
4.9,2.14,-1.69
5.05,2.13,-1.58
5.2,2.11,-1.67
5.35,2.1,-1.84
5.5,2.09,-1.77
5.65,2.19,-1.9
5.8,2.09,-1.87
5.95,2.11,-1.55
6.1,2.04,-1.64
6.25,2.11,-1.78
6.4,2.03,-1.8
6.55,2.01,-1.54
6.7,2.01,-1.72
6.85,2.03,-1.73
7,2.04,-1.85
7.15,2.11,-1.65
7.3,2.11,-1.72
7.45,2.16,-1.65
7.6,2.03,-1.88
7.75,2.07,-1.78
7.9,2,-1.69
8.05,2.02,-1.74
8.2,2.04,-1.84
8.4,2.01,-1.63
8.55,2,-1.72
8.85,2,-1.75
9,1.94,-1.29
9.15,1.94,-1.78
9.25,1.87,-1.78
9.3,1.93,-1.77
9.4,1.84,-1.63
9.45,1.98,-1.6
9.6,1.96,-1.55
9.75,2,-1.65
9.9,1.96,-1.74
10,1.91,-1.64
10.05,1.97,-1.65
10.2,1.91,-1.52
10.35,1.92,-1.73
10.4,1.97,-1.53
10.5,1.93,-1.71
10.6,1.94,-1.53
10.65,2.04,-1.88
10.8,2.01,-1.41
10.95,2.08,-1.49
11,1.92,-1.62
11.1,1.91,-1.71
11.25,1.98,-1.56
11.4,1.96,-1.62
11.55,2.08,-1.61
11.7,1.91,-1.78
11.85,1.93,-1.7
12,1.96,-1.61
12.15,1.89,-1.68
12.3,1.98,-1.73
12.45,2.05,-1.68
12.6,2.03,-1.69
12.75,2.06,-1.76
12.9,2.01,-1.61
13.05,2.01,-1.63
13.2,2.09,-1.62
13.35,2.06,-1.6
13.5,1.96,-1.47
13.65,1.97,-1.62
13.8,1.93,-1.57
13.95,1.98,-1.62
14.1,1.98,-1.55
14.25,1.95,-1.45
14.4,1.96,-1.56
14.55,2.04,-1.5
14.7,1.97,-1.36
14.85,1.97,-1.45
15,1.93,-1.43
15.15,1.96,-1.45
15.3,1.88,-1.52
