depth,magsus
0,3.75
0.05,3.61
0.1,3.56
0.15,12.7
0.2,9.4
0.25,4.81
0.3,6.39
0.35,11.41
0.4,13.85
0.45,12.27
0.5,12.72
0.55,11.33
0.6,11.84
0.65,15.73
0.7,16.02
0.75,14.69
0.8,13.64
0.85,12.51
0.9,11.53
0.95,11.44
1,12.17
1.05,12.12
1.1,11.76
1.15,10.46
1.2,7.79
1.25,3.56
1.3,5.68
1.35,6.35
1.4,6.49
1.45,3.83
1.5,4.94
1.55,4.6
1.6,4.89
1.65,4.63
1.7,4.42
1.75,3.85
1.8,2.88
1.85,3.55
1.9,3.4
2,4.27
2.05,3.49
2.1,3.32
2.15,4.13
2.2,4.81
2.25,5.35
2.3,5.31
2.35,3.98
2.4,3.91
2.45,3.78
2.5,3.55
2.55,3.53
2.6,3.63
2.65,4.14
2.7,5.56
2.75,5.23
2.8,5.49
2.85,5.08
2.9,5.19
2.95,4.16
3,3.87
3.05,4.19
3.1,4.87
3.15,3.45
3.2,4.21
3.25,5.9
3.3,6.98
3.35,6.11
3.4,4.62
3.45,4.64
3.5,8.42
3.55,5.95
3.6,8.69
3.65,6.87
3.7,5.54
3.75,5.52
3.8,7.26
3.85,7.46
3.9,7.56
3.95,5.25
4,6.67
4.05,5.9
4.1,5.09
4.15,4.64
4.2,4.46
4.25,4.11
4.3,3.62
4.35,3.48
4.4,4.84
4.45,5.01
4.5,4.04
4.55,3.99
4.6,4.09
4.65,4.06
4.7,4.95
4.75,4.74
4.8,4.38
4.85,5.25
4.9,5.38
4.95,4.62
5,5.51
5.05,7.24
5.1,6.93
5.15,6.42
5.2,4.91
5.25,5.08
5.3,5.04
5.35,4.73
5.4,6.18
5.45,6.4
5.5,6.02
5.55,4.87
5.6,4.6
5.65,4.24
5.7,3.99
5.75,3.35
5.8,3.96
5.85,4.9
5.9,4.96
5.95,5.95
6,6.19
6.05,5.89
6.1,5.04
6.15,4.54
6.2,4.46
6.25,3.83
6.3,3.36
6.35,2.89
6.4,4.16
6.45,3.6
6.5,4.7
6.55,4.82
6.6,5.53
6.65,4.42
6.7,4.38
6.75,3.74
6.8,3.54
6.85,3.58
6.9,3.76
6.95,3.69
7,2.73
7.05,2.86
7.1,2.9
7.15,2.99
7.2,3.87
7.25,3.44
7.3,3.48
7.35,4.3
7.4,4.62
7.45,4.16
7.5,3.85
7.55,3.17
7.6,3.1
7.65,3.38
7.7,3.51
7.75,4.34
7.8,4.65
7.85,5.86
7.9,5.75
7.95,5.83
8,5.32
8.05,4.11
8.1,3.65
8.15,3.75
8.2,3.29
8.25,3.43
8.3,3.93
8.4,4.96
8.45,5.11
8.5,5.15
8.55,5.27
8.6,5.44
8.65,4.47
8.7,3.34
8.75,3.16
8.8,3.38
8.85,3.26
8.9,5.32
8.95,6.25
9,6.42
9.05,4.78
9.1,4.06
9.15,3.65
9.2,3.14
9.25,3.18
9.3,3.82
9.35,4.28
9.4,4.62
9.45,5.02
9.5,5.65
9.55,5.51
9.6,5.09
9.65,4.37
9.7,4.35
9.75,4.28
9.8,3.7
9.85,3.34
9.9,3.62
9.95,3.77
10,4.06
10.05,3.93
10.1,3.86
10.15,4.11
10.2,4.78
10.25,5.32
10.3,5.21
10.35,4.32
10.4,4.66
10.45,3.29
10.5,3.29
10.55,3.3
10.6,3.38
10.65,3.99
10.7,5.35
10.75,5.91
10.8,6.03
10.85,6.48
10.9,6.57
10.95,6.57
11,4.46
11.05,3.93
11.1,3.79
11.15,3.91
11.2,4.23
11.25,5.53
11.3,6.3
11.35,5.92
11.4,5.67
11.45,5.18
11.5,4.7
11.55,3.93
11.6,3.58
11.65,4.06
11.7,3.83
11.75,4.58
11.8,4.55
11.85,4.79
11.9,6.14
11.95,5.47
12,4.75
12.05,4
12.1,3.64
12.15,3.59
12.2,3.53
12.25,3.59
12.3,3.73
12.35,4.88
12.4,4.82
