depth_mbsf,depth_ambsf,d13C
551.95,552.98,1.4
554.5,555.73,1.43
554.83,556.06,2.55
554.85,556.08,2.65
555.01,556.24,2.56
555.51,556.74,2.61
556.33,557.56,2.49
556.83,558.06,2.61
557.04,558.27,2.64
557.54,558.77,2.44
558.16,559.39,2.5
558.98,560.21,2.46
559.08,560.31,2.38
560.46,561.69,2.49
560.98,562.21,2.47
561.4,562.63,2.48
564.14,565.37,2.56
564.42,565.65,2.6
564.48,565.71,2.64
565.75,566.98,2.8
566.45,567.68,2.75
566.48,567.71,2.77
566.98,568.21,2.67
567.09,568.32,2.68
568.08,569.31,2.79
568.48,569.71,2.78
568.55,569.78,2.76
569.6,570.83,2.82
570.08,571.31,2.85
570.45,571.68,2.85
571.19,572.42,2.72
572.45,573.68,2.74
572.78,574.01,2.71
573.14,574.37,2.8
573.6,575.15,2.87
573.97,575.52,2.78
574,575.55,2.78
574.95,576.5,2.55
575.25,576.8,2.65
576.13,577.68,2.66
576.99,578.54,2.67
577.01,578.56,2.82
577.38,578.93,2.69
577.81,579.36,2.84
577.99,579.54,2.97
578.05,579.6,2.8
578.74,580.29,2.73
579.54,581.09,2.94
579.95,581.5,2.87
580.3,581.85,3.01
580.93,582.48,3.09
581.41,582.96,3.03
583.2,584.75,2.74
583.45,585,2.74
583.89,585.44,2.7
584.58,586.13,2.66
585.5,587.05,2.76
585.59,587.14,2.67
586.1,587.65,2.66
587.21,588.76,2.69
587.48,589.03,2.7
587.55,589.1,2.71
588.15,589.7,2.59
588.75,590.3,2.8
589.3,590.85,2.83
592.52,594.07,2.74
592.59,594.14,2.69
592.74,594.29,2.66
592.99,594.54,2.71
593.35,594.9,2.81
593.51,595.06,2.82
594,595.55,2.82
594.46,596.01,2.67
594.81,596.36,2.65
595,596.55,2.86
595.28,596.83,2.7
595.4,596.95,2.68
595.5,597.05,2.76
595.65,597.2,2.74
595.9,597.45,2.71
596.04,597.59,2.68
596.5,598.05,2.83
596.62,598.17,2.66
597,598.55,2.69
597.4,598.95,2.69
597.48,599.03,2.63
598,599.55,2.79
598.06,599.61,2.77
598.48,600.03,2.72
598.5,600.05,2.81
598.73,600.28,2.77
599,600.55,2.92
599.09,600.64,2.85
599.5,601.05,2.87
600,601.55,2.78
600.23,601.78,2.6
600.57,602.12,2.66
600.83,602.38,2.55
600.89,602.44,2.63
601,602.55,2.67
601.48,603.03,2.48
602,603.61,2.29
602.04,603.65,2.37
602.05,603.66,2.54
602.11,603.72,2.44
602.4,604.01,2.57
602.45,604.06,2.63
603,604.61,2.54
603,604.61,2.45
603.51,605.12,2.66
603.69,605.3,2.59
603.99,605.6,2.44
604.11,605.72,2.5
604.2,605.81,2.46
604.43,606.04,2.49
604.48,606.09,2.57
604.82,606.43,2.41
605.01,606.62,2.57
605.46,607.07,2.51
605.74,607.35,2.5
605.97,607.58,2.55
606.26,607.87,2.46
606.29,607.9,2.39
606.54,608.15,2.41
606.8,608.41,2.48
607.03,608.64,2.47
607.23,608.84,2.5
607.49,609.1,2.5
607.7,609.31,2.38
608,609.61,2.51
608.27,609.88,2.52
608.48,610.09,2.46
608.78,610.39,2.51
608.96,610.57,2.63
609.45,611.06,2.54
609.5,611.11,2.59
609.99,611.6,2.6
610.18,611.79,2.59
610.22,611.83,2.59
610.37,611.98,2.61
610.48,612.09,2.63
610.67,612.28,2.66
610.97,612.58,2.56
610.99,612.6,2.46
611.59,613.56,2.5
611.62,613.59,2.43
611.75,613.72,2.6
612,613.97,2.57
612.11,614.08,2.43
612.49,614.46,2.39
612.66,614.63,2.45
613.01,614.98,2.39
613.12,615.09,2.44
613.2,615.17,2.44
613.5,615.47,2.28
613.84,615.81,2.42
614.07,616.04,2.43
614.12,616.09,2.34
614.5,616.47,2.31
614.61,616.58,2.42
614.7,616.67,2.4
614.98,616.95,2.46
615.15,617.12,2.39
615.46,617.43,2.56
615.55,617.52,2.34
615.66,617.63,2.54
616.01,617.98,2.56
616.12,618.09,2.48
616.19,618.16,2.59
616.48,618.45,2.55
616.93,618.9,2.44
616.99,618.96,2.52
617.02,618.99,2.45
617.54,619.51,2.52
617.62,619.59,2.38
617.7,619.67,2.37
617.98,619.95,2.38
618.3,620.27,2.45
618.56,620.53,2.65
618.57,620.54,2.62
618.85,620.82,2.49
618.99,620.96,2.73
619.11,621.08,2.49
619.5,621.47,2.44
621.05,623.02,2.54
621.11,623.08,2.42
621.46,623.43,2.59
621.94,623.91,2.47
621.95,623.92,2.6
622.57,624.54,2.61
622.62,624.59,2.55
623,624.97,2.49
623.48,625.45,2.63
623.53,625.5,2.52
624.05,626.02,2.58
624.11,626.08,2.59
624.5,626.47,2.59
625.06,627.03,2.64
625.11,627.08,2.71
625.54,627.51,2.65
625.62,627.59,2.62
625.99,627.96,2.63
626.49,628.46,2.53
626.52,628.49,2.57
627.01,628.98,2.69
627.12,629.09,2.63
627.51,629.48,2.61
628,629.97,2.59
628.01,629.98,2.59
628.5,630.47,2.54
628.67,630.64,2.62
628.94,630.91,2.58
629.45,631.42,2.39
629.61,631.58,2.48
630.03,632,2.65
630.12,632.09,2.58
630.39,632.36,2.64
630.5,632.85,2.6
630.55,632.9,2.61
630.62,632.97,2.53
631.01,633.36,2.63
631.5,633.85,2.68
631.53,633.88,2.71
632.01,634.36,2.79
632.11,634.46,2.73
632.49,634.84,2.68
632.81,635.16,2.7
632.99,635.34,2.72
633.51,635.86,2.63
633.61,635.96,2.8
633.98,636.33,2.73
634.48,636.83,2.75
634.73,637.08,2.71
635.04,637.39,2.65
635.12,637.47,2.64
635.5,637.85,2.79
636,638.35,2.79
636.02,638.37,2.76
636.51,638.86,2.8
636.6,638.95,2.77
636.96,639.31,2.61
637.35,639.7,2.69
637.52,639.87,2.59
638.07,640.42,2.79
638.36,640.71,2.66
638.5,640.85,2.65
