height_m,d13C_VPDB,d18O_VPDB
23.7,1.79,-2.54
27.7,1.38,-2.86
30.05,1.61,-2.43
32.07,1.57,-2.91
34.75,1.58,-2.83
37.1,1.75,-2.47
39.6,1.74,-2.35
42.2,1.75,-2.80
44.4,1.71,-2.83
46.75,1.46,-3.12
49.15,1.7,-2.69
51.3,1.66,-2.82
53.5,1.22,-2.85
55.9,1.62,-2.77
58.15,1.73,-2.63
60.45,1.49,-2.62
62.65,1.57,-2.68
63.65,1.59,-3.05
65.7,1.55,-2.91
69.3,1.52,-2.72
71.2,1.7,-2.94
73,1.62,-2.93
74.9,1.65,-2.99
77,1.37,-2.79
78.9,1.65,-2.77
80.9,1.47,-2.60
82.8,1.8,-2.84
84.9,1.46,-2.87
86.75,1.31,-2.33
88.4,1.57,-2.52
91.9,1.42,-3.05
94.2,1.39,-2.99
96.5,1.54,-2.89
98.55,1.97,-3.12
100.5,1.4,-2.74
101.7,1.34,-2.60
103.9,1.45,-2.79
106.6,1.45,-2.75
108.5,1.79,-2.66
110.55,1.36,-3.10
111.6,1.55,-2.98
114.5,1.83,-2.52
116.55,0.88,-3.13
118.5,1.86,-2.60
120.45,1.54,-2.94
122.4,1.25,-2.89
124.4,1.51,-3.04
126.35,1.82,-3.01
128,1.71,-3.06
131.3,1.41,-2.94
133.25,1.69,-2.73
135.3,1.47,-3.05
137.45,1.54,-2.72
139.1,1.65,-2.86
141.05,1.58,-2.45
143.4,1.63,-2.70
145.8,1.77,-2.67
148.2,1.41,-2.95
150.6,1.53,-2.34
152.65,1.78,-2.44
154.9,1.86,-2.63
157,1.8,-2.49
159.15,1.83,-2.21
161.5,1.81,-2.05
163.6,1.92,-2.76
165.7,1.92,-2.68
167.8,1.96,-2.84
170.1,1.7,-2.63
172.2,1.71,-2.43
174.1,1.76,-2.41
175.75,1.92,-2.29
177.8,2.09,-2.74
180,2.09,-2.79
181.1,1.77,-2.45
183.7,1.7,-2.49
185.75,1.66,-2.10
188.1,1.82,-2.70
190.3,1.55,-2.48
192,1.86,-2.40
193,1.76,-2.27
195.25,1.7,-2.29
198.7,1.39,-3.07
201.7,1.72,-2.73
203.85,1.63,-2.48
206,1.78,-2.32
208,1.65,-2.92
211.25,1.79,-2.47
214.6,1.68,-2.45
216.85,1.74,-2.29
219.2,1.82,-2.35
222,1.71,-2.66
224.1,1.89,-2.14
226,1.71,-2.73
227.8,1.75,-2.34
229.9,1.72,-2.31
231.9,1.57,-2.41
234.2,1.64,-1.67
236.3,1.64,-2.01
238.6,1.69,-2.37
240.8,2.12,-2.39
243.4,1.85,-2.60
245.8,1.68,-2.71
247.9,1.55,-2.31
250.9,1.59,-2.48
253,1.66,-2.38
255.15,1.41,-2.50
257.5,1.77,-2.74
259.2,1.8,-2.40
261.4,1.71,-2.56
263.4,1.95,-2.39
265.45,1.24,-2.33
267.5,1.64,-2.90
269.75,1.51,-2.44
271.7,1.42,-2.03
273.8,1.68,-2.79
277.2,1.58,-2.91
279.4,1.41,-2.64
281.3,1.34,-3.21
283.2,1.4,-1.79
285.1,1.44,-2.88
286.9,1.57,-2.26
289.1,1.58,-2.83
290.2,1.48,-2.79
294.1,1.74,-2.43
297.1,1.88,-2.71
299.3,1.71,-2.49
302.3,1.71,-2.59
304.6,1.61,-2.33
306.6,0.96,-2.65
308.5,1.33,-2.81
310.3,1.26,-2.59
312.4,1.61,-2.90
314.5,1.6,-2.92
316.8,1.7,-3.04
318.65,1.5,-3.33
320.7,1.29,-2.71
322.7,1.35,-2.70
324.7,0.9,-3.12
327.2,1.3,-3.16
329.3,1.75,-2.83
331.35,1.65,-2.89
333.45,1.17,-3.04
335.3,1.54,-3.01
337.25,1.82,-2.56
339.2,1.87,-2.91
341.2,1.81,-3.07
343.3,1.62,-2.96
345.35,1.32,-2.40
347.35,1.58,-2.82
349.3,1.56,-2.80
351.25,1.32,-2.63
353.3,1.27,-3.04
355.5,1.09,-2.54
357.55,1.34,-2.51
359.5,1.33,-2.25
360.5,1.21,-2.00
362.7,0.89,-1.99
365.7,1,-2.28
367.8,1.48,-1.91
369.9,1.03,-2.85
371.7,1.31,-2.67
374,1.12,-2.20
376.85,1.51,-1.84
378.8,1.2,-2.45
380.7,1.39,-2.35
382.55,1.33,-2.65
384.5,1.29,-2.98
386.4,1.17,-3.24
388.5,1.48,-2.88
390.7,1.46,-3.13
392.7,1.34,-3.34
394.4,1.62,-2.97
396.8,1.26,-3.22
397.9,1.44,-3.00
401.05,1.63,-3.57
403,1.74,-3.00
405.1,1.49,-3.21
407.5,1.48,-3.25
409.5,1.67,-3.15
411.65,1.52,-3.41
413.45,1.52,-3.68
415.35,1.25,-3.51
417.4,1.52,-3.23
419.2,1.43,-3.43
421.25,1.52,-3.35
423.15,1.37,-3.36
426.1,1.62,-3.09
428.2,1.49,-3.31
430.1,1.51,-3.20
431.9,1.7,-3.25
434.2,1.56,-3.32
436.9,1.29,-3.35
439.5,1.65,-3.12
441.6,1.6,-3.46
443.5,1.69,-3.07
445.35,1.64,-3.19
447.1,1.32,-3.38
449,1.44,-3.40
452,1.7,-3.31
454,1.61,-3.09
455.8,0.99,-2.83
457.8,1.57,-3.32
459.7,1.48,-3.44
461.7,1.71,-3.03
463.8,1.6,-2.74
465.6,1.7,-3.00
467.4,1.63,-3.11
469.05,1.48,-3.19
471,1.69,-3.12
472.7,1.79,-3.35
474.6,1.86,-3.19
476.2,1.87,-3.04
478,1.69,-3.14
480,1.37,-2.53
481,1.62,-3.05
482.5,1.73,-2.81
484.7,1.77,-2.85
486.25,1.73,-2.95
487.8,1.61,-3.29
489.5,1.46,-3.08
491,1.45,-3.13
