Depth,Floating Long Eccentricity, Anchoring to D.b.ash,Anchoring to D.e. ash,Anchoring to C.v. ash,Anchoring to S.d. ash,Anchoring to S.p. ash (nominal age model)
2067.327034,0,82515.922177391,82417.9331133297,82277.728342942,82535.9140111239,82457.412039533
2067.357513,3.77492201835099,82519.6970994093,82421.7080353481,82281.5032649604,82539.6889331422,82461.1869615513
2067.387991,7.54972018350503,82523.4718975745,82425.4828335132,82285.2780631255,82543.4637313074,82464.9617597165
2067.41847,11.324642201855,82527.2468195928,82429.2577555316,82289.0529851439,82547.2386533257,82468.7366817348
2067.448948,15.099440367009,82531.021617758,82433.0325536967,82292.827783309,82551.0134514909,82472.5114799
2067.479427,18.874362385359,82534.7965397763,82436.8074757151,82296.6027053274,82554.7883735092,82476.2864019183
2067.509906,22.649284403653,82538.5714617946,82440.5823977334,82300.3776273457,82558.5632955275,82480.0613239366
2067.540384,26.424082568807,82542.3462599598,82444.3571958985,82304.1524255108,82562.3380936927,82483.8361221018
2067.570863,30.199004587157,82546.1211819781,82448.1321179169,82307.9273475292,82566.113015711,82487.6110441201
2067.601341,33.973802752311,82549.8959801433,82451.906916082,82311.7021456943,82569.8878138762,82491.3858422853
2067.63182,37.748724770661,82553.6709021616,82455.6818381004,82315.4770677127,82573.6627358945,82495.1607643036
2067.662298,41.523522935815,82557.4457003268,82459.4566362655,82319.2518658778,82577.4375340597,82498.9355624688
2067.692777,45.298444954166,82561.2206223451,82463.2315582839,82323.0267878962,82581.212456078,82502.7104844871
2067.723255,49.073243119263,82564.9954205102,82467.006356449,82326.8015860613,82584.9872542431,82506.4852826522
2067.753734,52.848165137613,82568.7703425286,82470.7812784673,82330.5765080796,82588.7621762615,82510.2602046706
2067.784212,56.622963302767,82572.5451406937,82474.5560766325,82334.3513062448,82592.5369744266,82514.0350028357
2067.814691,60.397885321117,82576.3200627121,82478.3309986509,82338.1262282631,82596.311896445,82517.8099248541
2067.845169,64.172683486271,82580.0948608772,82482.105796816,82341.9010264283,82600.0866946101,82521.5847230192
2067.875648,67.947605504622,82583.8697828956,82485.8807188343,82345.6759484466,82603.8616166285,82525.3596450376
2067.906126,71.722403669719,82587.6445810607,82489.6555169995,82349.4507466117,82607.6364147936,82529.1344432027
2067.936605,75.497325688069,82591.419503079,82493.4304390178,82353.2256686301,82611.4113368119,82532.909365221
2067.967083,79.272123853223,82595.1943012442,82497.2052371829,82357.0004667952,82615.1861349771,82536.6841633862
2067.997562,83.047045871573,82598.9692232626,82500.9801592013,82360.7753888136,82618.9610569954,82540.4590854045
2068.02804,86.821844036727,82602.7440214277,82504.7549573665,82364.5501869787,82622.7358551606,82544.2338835697
2068.058519,90.596766055078,82606.518943446,82508.5298793848,82368.3251089971,82626.5107771789,82548.008805588
2068.088997,94.371564220175,82610.2937416112,82512.3046775499,82372.0999071622,82630.285575344,82551.7836037531
