Leg	Site	H	MCD Top	MCD Bot
208	1262	B	  0.000	  5.500
208	1262	A	  5.500	  6.820
208	1262	B	  6.820	 14.860
208	1262	A	 14.860	 18.890
208	1262	B	 18.890	 24.550
208	1262	A	 24.550	 29.710
208	1262	B	 29.710	 34.060
208	1262	A	 34.060	 36.960
208	1262	B	 36.960	 45.160
208	1262	A	 45.160	 49.380
208	1262	B	 49.380	 55.810
208	1262	A	 55.810	 60.550
208	1262	B	 60.550	 63.750
208	1262	A	 63.750	 70.090
208	1262	B	 70.090	 76.670
208	1262	A	 76.670	 81.320
208	1262	B	 81.320	 85.340
208	1262	A	 85.340	 92.800
208	1262	B	 92.800	 98.460
208	1262	A	 98.460	103.930
208	1262	B	103.930	107.230
208	1262	A	107.230	112.420
208	1262	B	112.420	117.500
208	1262	A	117.500	124.090
208	1262	B	124.090	129.660
208	1262	A	129.660	133.940
208	1262	B	133.940	137.230
208	1262	A	137.230	144.740
208	1262	B	144.740	151.070
208	1262	A	151.070	155.410
208	1262	B	155.410	159.940
208	1262	A	159.940	164.300
208	1262	B	164.300	170.440
208	1262	A	170.440	174.890
208	1262	B	174.890	180.090
208	1262	C	180.090	185.490
208	1262	B	185.490	191.140
208	1262	C	191.140	195.750
208	1262	B	195.750	201.720
208	1262	C	201.720	203.460
208	1262	B	203.460	211.960
208	1262	C	211.960	215.250
208	1262	B	215.250	224.420
208	1262	C	224.420	226.980
208	1262	 	226.980	236.040
