Leg	Site	Sort Key	Hole Start	Core Start	CT	Sec. Start	Int. Start	MBSF Start	MCD Start	Relation	Hole End	Core End	CT	Sec. End	Int. End	MBSF End	MCD End
208	1262	       1	         B	         1	 H	         4	     100.0	     5.500	    5.500	     tie	       B	       2	 H	       2	    42.0	   8.830	  5.500
208	1262	       2	         B	         2	 H	         3	      25.0	    10.150	    6.820	     tie	       A	       1	 H	       1	    77.5	   0.780	  6.820
208	1262	       3	         A	         1	 H	         6	     132.5	     8.820	   14.860	     tie	       B	       3	 H	       1	    55.0	  12.450	 14.860
208	1262	       4	         B	         3	 H	         4	       7.5	    16.480	   18.890	     tie	       A	       2	 H	       3	     7.5	  12.580	 18.890
208	1262	       5	         A	         2	 H	         6	     127.5	    18.240	   24.550	     tie	       B	       4	 H	       1	   114.5	  22.560	 24.550
208	1262	       6	         B	         4	 H	         5	      32.5	    27.720	   29.710	     tie	       A	       3	 H	       3	    40.0	  22.400	 29.710
208	1262	       7	         A	         3	 H	         6	      25.0	    26.750	   34.060	     tie	       B	       5	 H	       1	    65.0	  31.550	 34.060
208	1262	       8	         B	         5	 H	         3	      55.0	    34.450	   36.960	     tie	       A	       4	 H	       1	    95.0	  29.450	 36.960
208	1262	       9	         A	         4	 H	         7	      15.0	    37.650	   45.160	     tie	       B	       6	 H	       2	   137.5	  43.280	 45.160
208	1262	      10	         B	         6	 H	         5	     110.0	    47.500	   49.380	     tie	       A	       5	 H	       2	    92.5	  40.420	 49.380
208	1262	      11	         A	         5	 H	         6	     135.0	    46.850	   55.810	     tie	       B	       7	 H	       3	    75.0	  51.480	 55.810
208	1262	      12	         B	         7	 H	         7	      55.0	    56.220	   60.550	     tie	       A	       6	 H	       2	    80.0	  49.800	 60.550
208	1262	      13	         A	         6	 H	         4	     100.0	    53.000	   63.750	     tie	       B	       8	 H	       1	    94.5	  58.860	 63.750
208	1262	      14	         B	         8	 H	         5	     130.0	    65.200	   70.090	     tie	       A	       7	 H	       2	    20.0	  58.700	 70.090
208	1262	      15	         A	         7	 H	         6	      77.5	    65.280	   76.670	     tie	       B	       9	 H	       2	    90.0	  69.800	 76.670
208	1262	      16	         B	         9	 H	         5	     105.0	    74.450	   81.320	     tie	       A	       8	 H	       1	    77.5	  67.280	 81.320
208	1262	      17	         A	         8	 H	         5	      17.5	    71.300	   85.340	     tie	       B	      10	 H	       1	   102.5	  77.920	 85.340
208	1262	      18	         B	        10	 H	         6	      97.5	    85.380	   92.800	     tie	       A	       9	 H	       2	     8.5	  77.590	 92.800
208	1262	      19	         A	         9	 H	         5	     125.0	    83.250	   98.460	     tie	       B	      11	 H	       2	    97.5	  88.880	 98.460
208	1262	      20	         B	        11	 H	         6	      45.0	    94.350	  103.930	     tie	       A	      10	 H	       2	    82.5	  87.820	103.930
208	1262	      21	         A	        10	 H	         4	     112.5	    91.120	  107.230	     tie	       B	      12	 H	       1	    68.5	  96.590	107.230
208	1262	      22	         B	        12	 H	         4	     137.5	   101.780	  112.420	     tie	       A	      11	 H	       1	   136.0	  96.370	112.420
208	1262	      23	         A	        11	 H	         5	      45.0	   101.450	  117.500	     tie	       B	      13	 H	       1	   146.0	 106.530	117.500
208	1262	      24	         B	        13	 H	         6	      55.0	   113.120	  124.090	     tie	       A	      12	 H	       2	   148.0	 107.480	124.090
208	1262	      25	         A	        12	 H	         7	       5.0	   113.050	  129.660	     tie	       B	      14	 H	       2	   136.0	 117.770	129.660
208	1262	      26	         B	        14	 H	         5	     115.0	   122.050	  133.940	     tie	       A	      13	 H	       2	    32.0	 115.830	133.940
208	1262	      27	         A	        13	 H	         4	      62.5	   119.120	  137.230	     tie	       B	      15	 H	       1	    51.0	 124.910	137.230
208	1262	      28	         B	        15	 H	         6	      82.5	   132.420	  144.740	     tie	       A	      14	 H	       2	    52.5	 125.520	144.740
208	1262	      29	         A	        14	 H	         6	      85.0	   131.850	  151.070	     tie	       B	      16	 H	       3	   131.0	 138.210	151.070
208	1262	      30	         B	        16	 H	         6	     115.0	   142.550	  155.410	     tie	       A	      15	 H	       2	    75.0	 135.250	155.410
208	1262	      31	         A	        15	 H	         5	      77.5	   139.780	  159.940	     tie	       B	      17	 H	       2	   142.5	 146.320	159.940
