Leg	Site	H	Core	T	Sec	Top (cm)	Depth (mbsf)	   L*  	   a*  	   b*  	   Munsell_HVC  	   X   	   Y   	   Z
208	1267	A	  1	H	  1	     2.5	       0.025	  59.90	   3.95	  13.75	  0.2 Y  5.9/2.2	  27.53	  28.01	  21.55
208	1267	A	  1	H	  1	     5.0	       0.050	  66.71	   3.87	  15.30	  0.4 Y  6.6/2.4	   35.5	  36.25	  27.68
208	1267	A	  1	H	  1	     7.5	       0.075	  66.62	   4.00	  15.59	  0.3 Y  6.6/2.4	  35.42	  36.13	  27.39
208	1267	A	  1	H	  1	    10.0	       0.100	  65.53	   4.39	  16.30	  0.2 Y  6.4/2.6	  34.16	  34.72	  25.75
208	1267	A	  1	H	  1	    12.5	       0.125	  64.46	   4.68	  16.86	  0.1 Y  6.3/2.7	  32.94	  33.37	  24.28
208	1267	A	  1	H	  1	    15.0	       0.150	  63.84	   4.88	  17.47	  0.1 Y  6.3/2.8	  32.24	   32.6	  23.28
208	1267	A	  1	H	  1	    17.5	       0.175	  62.10	   5.31	  18.04	 10.0 YR 6.1/2.9	  30.32	  30.51	  21.27
208	1267	A	  1	H	  1	    20.0	       0.200	  61.15	   5.47	  18.24	  9.9 YR 6.0/2.9	  29.28	  29.41	  20.28
208	1267	A	  1	H	  1	    22.5	       0.225	  59.86	   5.74	  18.70	  9.9 YR 5.9/3.0	  27.94	  27.97	   18.9
208	1267	A	  1	H	  1	    25.0	       0.250	  58.97	   5.87	  19.18	  9.9 YR 5.8/3.1	  27.02	     27	   17.9
208	1267	A	  1	H	  1	    27.5	       0.275	  59.34	   5.85	  18.79	  9.8 YR 5.8/3.0	   27.4	   27.4	   18.4
208	1267	A	  1	H	  1	    30.0	       0.300	  61.28	   5.54	  18.24	  9.9 YR 6.0/2.9	  29.45	  29.57	  20.41
208	1267	A	  1	H	  1	    32.5	       0.325	  62.96	   5.35	  17.65	  9.8 YR 6.2/2.8	  31.32	  31.53	  22.31
208	1267	A	  1	H	  1	    35.0	       0.350	  63.06	   5.12	  17.56	 10.0 YR 6.2/2.8	  31.39	  31.66	  22.46
208	1267	A	  1	H	  1	    37.5	       0.375	  62.95	   5.27	  17.60	  9.9 YR 6.2/2.8	  31.29	  31.52	  22.33
208	1267	A	  1	H	  1	    40.0	       0.400	  62.70	   5.19	  17.61	  9.9 YR 6.2/2.8	  30.98	  31.23	  22.09
208	1267	A	  1	H	  1	    42.5	       0.425	  62.27	   5.36	  17.81	  9.9 YR 6.1/2.9	  30.53	  30.71	  21.56
208	1267	A	  1	H	  1	    45.0	       0.450	  61.30	   5.40	  17.72	  9.8 YR 6.0/2.9	  29.44	  29.59	   20.7
208	1267	A	  1	H	  1	    47.5	       0.475	  61.56	   5.41	  18.10	  9.9 YR 6.0/2.9	  29.73	  29.89	  20.74
208	1267	A	  1	H	  1	    50.0	       0.500	  59.69	   5.59	  18.03	  9.8 YR 5.9/2.9	  27.72	  27.78	  19.09
208	1267	A	  1	H	  1	    52.5	       0.525	  59.55	   5.72	  18.29	  9.8 YR 5.8/3.0	   27.6	  27.63	  18.83
