Leg	Site	H	Core	T	Sec	Top (cm)	Depth (mbsf)	   L*  	   a*  	   b*  	   Munsell_HVC  	   X   	   Y   	   Z
208	1267	B	  1	H	  1	     2.5	       0.025	  50.14	   4.01	  13.07	  0.4 Y  4.9/2.1	  18.33	  18.54	  13.81
208	1267	B	  1	H	  1	     5.0	       0.050	  65.63	   4.21	  15.83	  0.2 Y  6.5/2.5	  34.24	  34.85	  26.15
208	1267	B	  1	H	  1	     7.5	       0.075	  66.03	   4.17	  15.90	  0.3 Y  6.5/2.5	  34.72	  35.36	  26.54
208	1267	B	  1	H	  1	    10.0	       0.100	  63.96	   4.97	  16.87	  9.9 YR 6.3/2.7	  32.41	  32.75	  23.77
208	1267	B	  1	H	  1	    12.5	       0.125	  65.28	   4.58	  16.56	  0.1 Y  6.4/2.6	   33.9	  34.39	  25.31
208	1267	B	  1	H	  1	    15.0	       0.150	  64.26	   4.77	  17.05	  0.1 Y  6.3/2.7	  32.71	  33.12	  23.96
208	1267	B	  1	H	  1	    17.5	       0.175	  63.75	   5.05	  17.33	  9.9 YR 6.3/2.8	  32.19	   32.5	  23.29
208	1267	B	  1	H	  1	    20.0	       0.200	  63.29	   5.11	  17.38	  9.9 YR 6.2/2.8	  31.65	  31.93	  22.79
208	1267	B	  1	H	  1	    22.5	       0.225	  61.97	   5.10	  17.74	  0.1 Y  6.1/2.8	  30.12	  30.36	  21.31
208	1267	B	  1	H	  1	    25.0	       0.250	  58.74	   5.85	  18.60	  9.8 YR 5.8/3.0	  26.76	  26.74	  17.98
208	1267	B	  1	H	  1	    27.5	       0.275	  60.13	   5.80	  18.26	  9.7 YR 5.9/3.0	  28.25	  28.27	  19.36
208	1267	B	  1	H	  1	    30.0	       0.300	  59.78	   5.76	  18.52	  9.8 YR 5.9/3.0	  27.85	  27.88	  18.91
208	1267	B	  1	H	  1	    32.5	       0.325	  65.54	   4.63	  16.92	  0.2 Y  6.4/2.7	  34.25	  34.73	  25.38
208	1267	B	  1	H	  1	    35.0	       0.350	  62.94	   5.39	  18.08	  9.9 YR 6.2/2.9	  31.32	  31.52	  22.06
208	1267	B	  1	H	  1	    37.5	       0.375	  62.83	   5.32	  17.83	  9.9 YR 6.2/2.9	  31.17	  31.38	  22.09
208	1267	B	  1	H	  1	    40.0	       0.400	  63.47	   5.18	  17.56	  9.9 YR 6.2/2.8	  31.89	  32.16	  22.88
208	1267	B	  1	H	  1	    42.5	       0.425	  62.19	   5.22	  17.72	  9.9 YR 6.1/2.8	   30.4	  30.62	  21.54
208	1267	B	  1	H	  1	    45.0	       0.450	  62.29	   5.24	  17.86	 10.0 YR 6.1/2.9	  30.52	  30.75	  21.56
208	1267	B	  1	H	  1	    47.5	       0.475	  62.44	   5.50	  17.46	  9.7 YR 6.1/2.8	  30.76	  30.92	  21.92
208	1267	B	  1	H	  1	    50.0	       0.500	  60.87	   5.53	  18.30	  9.9 YR 6.0/3.0	  28.99	  29.09	     20
208	1267	B	  1	H	  1	    52.5	       0.525	  60.37	   5.72	  18.52	  9.8 YR 5.9/3.0	  28.49	  28.54	  19.43
208	1267	B	  1	H	  1	    55.0	       0.550	  58.70	   5.95	  18.89	  9.8 YR 5.8/3.1	  26.75	  26.71	  17.81
208	1267	B	  1	H	  1	    57.5	       0.575	  58.17	   6.00	  18.72	  9.8 YR 5.7/3.1	  26.21	  26.14	  17.45
208	1267	B	  1	H	  1	    60.0	       0.600	  56.50	   6.27	  18.70	  9.6 YR 5.5/3.1	  24.56	  24.41	  16.11
208	1267	B	  1	H	  1	    62.5	       0.625	  55.64	   6.34	  18.80	  9.6 YR 5.5/3.1	  23.74	  23.56	  15.41
208	1267	B	  1	H	  1	    65.0	       0.650	  57.90	   6.09	  18.34	  9.6 YR 5.7/3.0	  25.95	  25.86	  17.41
208	1267	B	  1	H	  1	    67.5	       0.675	  58.94	   5.96	  18.35	  9.7 YR 5.8/3.0	  27.01	  26.96	  18.28
208	1267	B	  1	H	  1	    70.0	       0.700	  62.15	   5.22	  17.59	  9.9 YR 6.1/2.8	  30.35	  30.57	  21.56
208	1267	B	  1	H	  1	    72.5	       0.725	  63.00	   4.99	  16.88	  9.9 YR 6.2/2.7	  31.28	  31.59	  22.79
208	1267	B	  1	H	  1	    75.0	       0.750	  63.67	   5.17	  16.76	  9.7 YR 6.3/2.7	  32.12	   32.4	  23.54
208	1267	B	  1	H	  1	    77.5	       0.775	  65.06	   5.19	  16.87	  9.7 YR 6.4/2.7	   33.8	  34.12	  24.89
