Leg	Site	H	MCD Top	MCD Bot
208	1267	A	  0.030	  2.220
208	1267	B	  2.220	  6.450
208	1267	A	  6.450	 11.010
208	1267	B	 11.010	 17.550
208	1267	A	 17.550	 21.860
208	1267	B	 21.860	 28.610
208	1267	A	 28.610	 36.190
208	1267	B	 36.190	 40.800
208	1267	A	 40.800	 45.620
208	1267	B	 45.620	 51.610
208	1267	A	 51.610	 55.990
208	1267	B	 55.990	 59.440
208	1267	A	 59.440	 64.610
208	1267	B	 64.610	 67.040
208	1267	A	 67.040	 76.000
208	1267	B	 76.000	 83.250
208	1267	A	 83.250	 87.570
208	1267	B	 87.570	 90.890
208	1267	A	 90.890	 95.820
208	1267	B	 95.820	101.860
208	1267	A	101.860	106.510
208	1267	B	106.510	109.530
208	1267	A	109.530	116.890
208	1267	B	116.890	121.510
208	1267	A	121.510	126.820
208	1267	B	126.820	133.220
208	1267	A	133.220	139.010
208	1267	B	139.010	144.530
208	1267	A	144.530	148.630
208	1267	B	148.630	153.100
208	1267	A	153.100	159.930
208	1267	B	159.930	165.500
208	1267	A	165.500	172.000
208	1267	B	172.000	176.560
208	1267	A	176.560	181.930
208	1267	B	181.930	184.970
208	1267	A	184.970	192.670
208	1267	B	192.670	198.750
208	1267	A	198.750	204.060
208	1267	B	204.060	209.200
208	1267	A	209.200	215.740
208	1267	B	215.740	219.430
208	1267	A	219.430	226.110
208	1267	B	226.110	229.680
208	1267	A	229.680	236.350
208	1267	B	236.350	242.070
208	1267	A	242.070	248.250
208	1267	B	248.250	252.240
208	1267	A	252.240	259.200
208	1267	B	259.200	266.880
208	1267	A	266.880	267.020
208	1267	B	267.830	273.210
208	1267	A	273.210	278.210
208	1267	B	278.210	284.830
208	1267	A	284.830	287.540
208	1267	B	287.540	292.280
208	1267	A	292.280	296.530
208	1267	B	296.530	303.790
208	1267	A	303.790	306.850
208	1267	B	306.710	311.260
208	1267	B	311.260	315.800
208	1267	A	315.600	320.850
208	1267	B	320.850	327.210
208	1267	B	327.240	337.000
208	1267	A	337.020	343.400
208	1267	B	343.400	348.700
208	1267	B	348.700	358.320
208	1267	 	358.150	367.950
