Leg	Site	Sort Key	Hole Start	Core Start	CT	Sec. Start	Int. Start	MBSF Start	MCD Start	Relation	Hole End	Core End	CT	Sec. End	Int. End	MBSF End	MCD End
208	1267	       1	         B	         1	 H	         2	      72.5	     2.220	    2.220	     tie	       A	       1	 H	       2	    68.5	   2.190	  2.220
208	1267	       2	         A	         1	 H	         5	      42.5	     6.420	    6.450	     tie	       B	       2	 H	       2	    92.5	   5.520	  6.450
208	1267	       3	         B	         2	 H	         5	      97.5	    10.080	   11.010	     tie	       A	       2	 H	       1	   144.0	  10.340	 11.010
208	1267	       4	         A	         2	 H	         6	      47.5	    16.880	   17.550	     tie	       B	       3	 H	       2	    71.0	  14.810	 17.550
208	1267	       5	         B	         3	 H	         5	      52.5	    19.120	   21.860	     tie	       A	       3	 H	       1	     6.0	  18.470	 21.860
208	1267	       6	         A	         3	 H	         5	      82.5	    25.220	   28.610	     tie	       B	       4	 H	       1	   130.0	  23.400	 28.610
208	1267	       7	         B	         4	 H	         6	     137.5	    30.980	   36.190	     tie	       A	       4	 H	       2	   126.0	  30.570	 36.190
208	1267	       8	         A	         4	 H	         5	     137.5	    35.180	   40.800	     tie	       B	       5	 H	       3	   104.5	  35.660	 40.800
208	1267	       9	         B	         5	 H	         7	      37.5	    40.480	   45.620	     tie	       A	       5	 H	       3	    32.0	  40.730	 45.620
208	1267	      10	         A	         5	 H	         7	      32.5	    46.720	   51.610	     tie	       B	       6	 H	       4	     6.0	  45.670	 51.610
208	1267	      11	         B	         6	 H	         6	     145.0	    50.050	   55.990	     tie	       A	       6	 H	       4	    22.0	  51.630	 55.990
208	1267	      12	         A	         6	 H	         6	      67.5	    55.080	   59.440	     tie	       B	       7	 H	       2	   102.0	  53.130	 59.440
208	1267	      13	         B	         7	 H	         6	      20.0	    58.300	   64.610	     tie	       A	       7	 H	       1	    85.0	  57.250	 64.610
208	1267	      14	         A	         7	 H	         3	      27.5	    59.680	   67.040	     tie	       B	       8	 H	       1	    24.5	  60.360	 67.040
208	1267	      15	         B	         8	 H	         7	      22.5	    69.320	   76.000	     tie	       A	       8	 H	       2	    70.0	  68.100	 76.000
208	1267	      16	         A	         8	 H	         7	      45.0	    75.350	   83.250	     tie	       B	       9	 H	       2	    80.0	  71.900	 83.250
208	1267	      17	         B	         9	 H	         5	      62.5	    76.220	   87.570	     tie	       A	       9	 H	       3	     2.0	  78.430	 87.570
208	1267	      18	         A	         9	 H	         5	      35.0	    81.750	   90.890	     tie	       B	      10	 H	       2	    76.0	  81.370	 90.890
208	1267	      19	         B	        10	 H	         5	     120.0	    86.300	   95.820	     tie	       A	      10	 H	       2	    33.5	  86.740	 95.820
208	1267	      20	         A	        10	 H	         6	      37.5	    92.780	  101.860	     tie	       B	      11	 H	       2	   112.0	  91.230	101.860
208	1267	      21	         B	        11	 H	         5	     127.5	    95.880	  106.510	     tie	       A	      11	 H	       3	    30.0	  97.700	106.510
208	1267	      22	         A	        11	 H	         5	      32.5	   100.720	  109.530	     tie	       B	      12	 H	       1	    82.5	  98.920	109.530
208	1267	      23	         B	        12	 H	         6	      67.5	   106.280	  116.890	     tie	       A	      12	 H	       2	   142.0	 106.830	116.890
208	1267	      24	         A	        12	 H	         6	       5.0	   111.450	  121.510	     tie	       B	      13	 H	       2	    43.5	 109.540	121.510
208	1267	      25	         B	        13	 H	         5	     130.0	   114.850	  126.820	     tie	       A	      13	 H	       2	    35.0	 115.250	126.820
208	1267	      26	         A	        13	 H	         6	      75.0	   121.650	  133.220	     tie	       B	      14	 H	       2	   118.5	 119.750	133.220
208	1267	      27	         B	        14	 H	         6	      97.5	   125.540	  139.010	     tie	       A	      14	 H	       2	   146.0	 125.860	139.010
208	1267	      28	         A	        14	 H	         6	      97.5	   131.380	  144.530	     tie	       B	      15	 H	       3	    52.5	 130.120	144.530
208	1267	      29	         B	        15	 H	         6	      12.5	   134.220	  148.630	     tie	       A	      15	 H	       2	   102.0	 134.930	148.630
208	1267	      30	         A	        15	 H	         5	     100.0	   139.400	  153.100	     tie	       B	      16	 H	       2	    12.5	 137.720	153.100
208	1267	      31	         B	        16	 H	         6	      95.0	   144.550	  159.930	     tie	       A	      16	 H	       2	    12.0	 143.530	159.930
208	1267	      32	         A	        16	 H	         5	     120.0	   149.100	  165.500	     tie	       B	      17	 H	       2	   132.5	 148.420	165.500
208	1267	      33	         B	        17	 H	         7	      32.5	   154.920	  172.000	     tie	       A	      17	 H	       3	    78.5	 155.190	172.000
