Hole 	Age (Ma) 	Depth (mbsf) 	Comment
1267B 	0.0 	0.000 	None
1267B 	3.622202 	39.552 	None
1267B 	4.297357 	66.299 	None
1267B 	5.309147047619048 	84.482 	None
1267B 	10.373746 	97.515 	None
1267B 	30.459587 	111.848 	None
1267B 	30.917708483069976 	112.994 	None
1267B 	33.77487671097373 	128.138 	None
1267B 	42.260509485411134 	136.724 	None
1267B 	43.38337944827586 	139.017 	None
1267B 	46.324480430769235 	147.045 	None
1267B 	49.614536593072714 	158.788 	None
1267B 	53.82915343915344 	180.374 	None
1267B 	57.128183 	220.660 	None
1267B 	57.550154 	222.685 	None
1267B 	58.900463 	240.220 	None
1267B 	62.162276905495986 	264.000 	None
1267B 	62.468722283783784 	267.440 	None
1267B 	63.41265662947799 	272.792 	None
1267B 	65.65868086027398 	282.253 	None
1267B 	66.393555 	290.915 	None
1267B 	68.334624 	324.354 	None
