depth,magsus,reflec,d13C_VPDB,comment
-362,NA,NA,1.5726092,NA
-349.5,NA,NA,1.6927980000000034,NA
-338,NA,NA,1.3828519999999997,NA
-326,NA,NA,1.406556000000002,NA
-316.5,NA,NA,0.8845326,NA
-306.5,NA,NA,1.9648884000000066,NA
-296.5,NA,NA,1.5104248000000027,NA
-287.5,NA,NA,1.2280736000000019,NA
-277,NA,NA,1.5799511999999964,NA
-266.5,NA,NA,1.8808508000000046,NA
-255,NA,NA,1.4232635999999985,NA
-243.5,NA,NA,1.7305382000000051,NA
-232.5,NA,NA,1.214101399999997,NA
-219,NA,NA,1.0927489999999977,NA
-203,NA,NA,1.257829000000001,NA
-189.5,NA,NA,0.8064699999999974,NA
-178.5,NA,NA,1.649768200000004,NA
-164,NA,NA,1.4552245,NA
-140,NA,NA,0.4821085000000025,NA
-119.5,NA,NA,0.9739280000000079,NA
-103,NA,NA,1.3033145000000061,NA
-75,NA,NA,1.2279377999999994,NA
-50.5,NA,NA,1.0485588000000021,NA
-36,NA,NA,1.030376799999999,NA
-25,NA,NA,0.6205082000000033,NA
-7.5,NA,NA,0.5227596000000005,NA
4.875,8.3,54.2223,NA,NA
14.625,8.9,54.2626,1.1878377000000029,NA
24.375,9.5,52.661,NA,NA
34.125,5.2,57.3688,NA,NA
44.75,9,48.168425,1.2163548000000048,NA
56.25,13.6,48.14035,NA,NA
70.5,11.2,46.556925,NA,NA
83.333,9.2,46.464533,1.0034885000000031,NA
92,7.5,49.6453,NA,NA
100.667,12.4,46.32305,NA,NA
111.25,13.3,50.58,0.7768786999999975,NA
123.75,13.9,47.2247,NA,NA
136.333,13.3,48.60455,NA,NA
149,14.9,40.51765,NA,NA
161.667,13.5,44.01695,1.0138306000000057,NA
175.25,11,45.934725,NA,NA
189.25,7.6,48.4486,NA,NA
198.25,12.9,51.111083,0.9318370000000016,NA
204.75,16.5,46.5684,NA,NA
219,12.2,50.19595,NA,NA
236.167,8.2,40.705414,NA,NA
248.5,18.1,50.57085,0.7411190941872429,NA
260.833,15.2,47.28695,NA,NA
281,8.7,45.99375,NA,NA
291.627,15.4,41.538275,NA,NA
302.253,15.9,43.2178,1.1955651999999972,NA
312.88,12.5,43.061575,NA,NA
323.507,17.5,47.2106,NA,NA
334.133,15.2,49.18805,NA,NA
344.76,12.3,46.45675,NA,NA
355.387,16.2,44.47275,0.7580066000000016,NA
366.013,14.5,46.47835,NA,NA
376.64,11.4,41.53775,NA,NA
387.267,11.8,45.6153,NA,NA
397.893,12.6,42.16745,NA,NA
408.52,13.2,43.02635,0.7355541000000017,NA
419.147,13,43.9571,NA,NA
429.773,16.3,43.11125,NA,NA
440.4,17.3,45.1017,NA,NA
451.027,15.7,42.336075,0.7728770000000011,NA
461.653,13.7,43.9083,NA,NA
472.28,11.6,40.65045,NA,NA
482.907,15.7,44.384,NA,NA
493.533,9.9,45.41345,NA,NA
504.16,10.1,44.7106,1.0730186000000046,NA
514.787,16.2,52.4418,NA,NA
525.413,16.2,46.5493,NA,NA
536.04,11.6,45.44505,NA,NA
546.667,14.1,49.93655,NA,NA
557.293,13.9,44.83815,0.861990456429492,NA
567.92,13.6,46.0313,NA,NA
578.547,8.6,47.0619,-1.6626549844458047,outlier
589.173,17.5,48.6549,NA,NA
600.75,13.8,46.7967,1.3927942000000044,NA
612.25,12.8,50.54665,NA,NA
623.583,12.5,45.32215,NA,NA
634.75,16.2,45.13905,NA,NA
645.917,17.8,40.3451,NA,NA
657.083,16.9,45.1906,0.8090612999999962,NA
668.25,18.5,43.281,NA,NA
679.417,17.1,46.65425,NA,NA
690.25,15.6,46.52605,NA,NA
700.75,18.2,46.74155,NA,NA
710,19.8,47.649,1.3732835000000065,NA
718,15.4,48.19595,NA,NA
728.3,13.2,46.90015,NA,NA
740.9,12.3,41.39005,NA,NA
753.5,11.9,49.90615,0.38860411853372795,NA
766.1,12.6,42.1334,NA,NA
778.7,14.2,46.5933,NA,NA
790.25,11.9,50.5793,1.485396299999998,NA
800.75,11,43.86135,NA,NA
812.5,16.7,47.77375,NA,NA
825.5,16.9,45.2497,NA,NA
838.5,14.4,47.7596,0.7375360000000057,NA
851.5,14.1,47.93965,NA,NA
864.5,14.2,51.4383,NA,NA
880,11.1,46.6116,1.2533651000000035,NA
890,18,51.4375,NA,NA
902.375,12,47.25225,NA,NA
917.125,11.7,45.33545,1.0385771000000048,NA
931.875,14.1,44.28675,NA,NA
946.625,10.8,45.8388,NA,NA
961,14.8,47.9626,1.337827500000003,NA
975.375,12,46.134533,NA,NA
990.125,14.5,46.61804,1.3484516000000042,NA
1004.875,16.8,42.657375,NA,NA
1019.625,11.4,43.2579,NA,NA
1029.333,10.6,50.14885,NA,NA
1034,8.2,45.41525,0.20365708901888743,NA
1038.667,11.8,45.963,NA,NA
1042.833,8.3,41.2199,NA,NA
1046.5,11,47.6698,0.6302600000000069,NA
1050.167,10.7,47.7057,NA,NA
1054.333,12.3,44.1006,NA,NA
1059,12.4,47.849175,1.658113500000006,NA
1063.667,13.2,43.8132,NA,NA
1068,12.1,41.0777,NA,NA
1072,10,43.89455,1.542961400000003,NA
1076,10,45.6079,NA,NA
1083,10.3,51.64832,1.4984791000000044,NA
1093,13.3,47.488675,NA,NA
1103,10.7,51.248417,1.572181399999998,NA
1113,9.8,45.702025,NA,NA
